"ident","icao","name","latitude","longitude","iapExists"
"AFE","PAFE","Kake","56.9613625","-133.9102611","1"
"KLG","PALG","Kalskag","61.53597222","-160.3455833","1"
"KTN","PAKT","Ketchikan Intl","55.35408333","-131.7112222","1"
"IAN","PAIK","Bob Baker Meml","66.9761775","-160.4385992","1"
"JZZ","PAJZ","Koliganek","59.72675","-157.26025","1"
"DUY","PADY","Kongiganak","59.96163056","-162.8805931","0"
"2A9","PFKO","Kotlik","63.03058333","-163.5326389","1"
"OTZ","PAOT","Ralph Wien Meml","66.88480556","-162.5981389","1"
"KKA","PAKK","Koyuk Alfred Adams","64.93952778","-161.1542778","1"
"KYU","PFKU","Koyukuk","64.87580556","-157.7304444","1"
"LKK","PAKL","Kulik Lake","58.96500556","-155.0956125","0"
"KWT","PFKW","Kwethluk","60.79033333","-161.4436944","1"
"AK0","","Jakes Bar","61.21887222","-142.8912111","0"
"MCG","PAMC","Mc Grath","62.95278392","-155.6070481","1"
"INR","PAIN","Mc Kinley Ntl Park","63.73259833","-148.9106383","0"
"MLY","PAML","Manley Hot Springs","64.98794444","-150.6475833","1"
"MBA","PAMB","Manokotak","58.93205556","-158.9018889","1"
"MDM","PADM","Marshall Don Hunter Sr","61.86416667","-162.0261111","1"
"MYK","","May Creek","61.33616111","-142.6858861","0"
"76Z","","Nakeen","58.927605","-157.0471522","0"
"5NK","","Naknek","58.73466286","-157.0252104","0"
"KEB","","Nanwalek","59.35214833","-151.9251558","0"
"WNA","PANA","Napakiak","60.69033333","-161.9785","1"
"PKA","PAPK","Napaskiak","60.7029125","-161.7783075","1"
"OUL","PAOU","Nelson Lagoon","56.00753611","-161.1603672","1"
"ENN","PANN","Nenana Muni","64.5473","-149.073925","1"
"KNW","PANW","New Stuyahok","59.45152778","-157.3731667","1"
"ORT","PAOR","Northway","62.96116667","-141.9280833","1"
"AQT","PAQT","Nuiqsut","70.20983333","-151.0064722","1"
"NUL","PANU","Nulato","64.72933333","-158.0742222","1"
"HRR","PAHV","Healy River","63.86758333","-148.9688333","1"
"HCA","PAHC","Holy Cross","62.18830556","-159.7749444","1"
"HOM","PAHO","Homer","59.64554861","-151.4765947","1"
"HUS","PAHU","Hughes","66.03908333","-154.2646944","1"
"HLA","PAHL","Huslia","65.69786111","-156.3513889","1"
"IGG","PAIG","Igiugig","59.32404167","-155.9017728","1"
"ILI","PAIL","Iliamna","59.75557811","-154.9177523","1"
"KAL","PAKV","Kaltag","64.31898","-158.7413058","1"
"5Z5","","Kantishna","63.54098611","-150.9950778","0"
"Z90","","Stampede","63.75120556","-150.3302639","0"
"KYK","PAKY","Karluk","57.56605556","-154.4538056","0"
"Z09","PFKA","Kasigluk","60.87333333","-162.5243056","1"
"5KS","","Kasilof","60.35052083","-151.2628564","0"
"ENA","PAEN","Kenai Muni","60.57327778","-151.2448333","1"
"KVC","PAVC","King Cove","55.11638417","-162.2665356","1"
"AKN","PAKN","King Salmon","58.67649347","-156.648691","1"
"IIK","PAKI","Kipnuk","59.93161111","-164.0281111","1"
"KVL","PAVL","Kivalina","67.73613889","-164.5635","1"
"AKW","PAKW","Klawock","55.57922222","-133.076","1"
"OBU","PAOB","Kobuk","66.91233333","-156.8973333","1"
"KDK","PAKD","Kodiak Muni","57.8059175","-152.3738414","0"
"ADQ","PADQ","Kodiak","57.74979389","-152.4939436","1"
"9K2","PFKK","Kokhanok","59.43328611","-154.8025917","1"
"GGV","PAGG","Kwigillingok","59.87568889","-163.1680875","0"
"Z55","","Lake Louise","62.29161806","-146.57735","0"
"2A3","PALB","Larsen Bay","57.53508333","-153.9766667","0"
"9Z9","","Lawing","60.41188472","-149.3693417","0"
"9Z8","","Levelock","59.12708333","-156.8598889","0"
"2AK","","Lime Village","61.35913056","-155.4403861","0"
"4AK","","Livengood Camp","65.46726944","-148.6537472","0"
"15Z","PAMX","McCarthy","61.43781908","-142.902503","0"
"MYU","PAMY","Mekoryuk","60.37238889","-166.2701944","1"
"MDO","PAMD","Middleton Island","59.44994361","-146.3072406","1"
"MHM","PAMH","Minchumina","63.88597222","-152.3018333","1"
"51Z","","Minto Al Wright","65.14816667","-149.3685833","0"
"MOU","PAMO","Mountain Village","62.09477778","-163.6828611","1"
"IGT","PAGT","Nightmute","60.46917083","-164.7040375","0"
"FSP","PAFS","Nikolai","63.01855889","-154.3584381","1"
"IKO","PAKO","Nikolski AS","52.94155556","-168.8490278","0"
"NIN","","Ninilchik","60.02023417","-151.5894186","0"
"WTK","PAWN","Noatak","67.56116667","-162.9804167","1"
"94Z","","Nome City Fld","64.51142228","-165.3902302","0"
"OME","PAOM","Nome","64.512555","-165.4443939","1"
"5NN","PANO","Nondalton","59.98023028","-154.8391747","1"
"D76","PFNO","Robert/Bob/Curtis Meml","66.81752778","-161.02225","1"
"95Z","","Bradley Sky-Ranch","64.75922222","-147.3876389","0"
"16A","PPIT","Nunapitchuk","60.906","-162.4405833","0"
"6R7","","Old Harbor","57.21830556","-153.2698319","0"
"Z17","","Ophir","63.14591944","-156.5289083","0"
"4K5","","Ouzinkie","57.94215517","-152.4649931","0"
"PAQ","PAAQ","Warren Bud Woods Palmer Muni","61.59491667","-149.0887222","1"
"PNP","PAPN","Pilot Point","57.58038056","-157.5719569","1"
"UGB","","Ugashik Bay","57.42535806","-157.7398656","0"
"0AK","","Pilot Station","61.96147697","-162.9423546","0"
"PTU","PAPM","Platinum","59.01783056","-161.8271917","1"
"PHO","PAPO","Point Hope","68.34812872","-166.7991268","1"
"PIZ","PPIZ","Point Lay LRRS","69.73288889","-163.0053333","1"
"A14","PAOC","Portage Creek","58.906525","-157.7111667","0"
"01A","","Purkeypile","62.94075556","-152.2696097","0"
"20K","","Quail Creek","65.35471944","-149.7613778","0"
"5QC","","Quartz Creek / Kougarok","65.40593306","-164.6557247","0"
"AQH","PAQH","Quinhagak","59.75509306","-161.8453656","1"
"6AK","","Rainy Pass Lodge","62.08414194","-152.7175247","0"
"RMP","PFMP","Rampart","65.5079","-150.1408333","0"
"RDV","","Red Devil","61.78805556","-157.35025","0"
"RBY","PARY","Ruby","64.72722222","-155.4698889","1"
"RSH","PARS","Russian Mission","61.77489028","-161.3193987","1"
"PBV","PAPB","St George","56.57736111","-169.6637222","1"
"KSM","PASM","St Mary's","62.06083083","-163.3018364","1"
"SHX","PAHX","Shageluk","62.69230556","-159.5692222","1"
"2C7","PFSH","Shaktoolik","64.37108333","-161.2239722","1"
"SMU","PASP","Sheep Mountain","61.81128056","-147.5090514","0"
"SXP","","Nunam Iqua","62.52041639","-164.8476458","0"
"SHH","PASH","Shishmaref","66.24958333","-166.0893611","1"
"SHG","PAGH","Shungnak","66.88808333","-157.1624167","1"
"SIT","PASI","Sitka Rocky Gutierrez","57.04683436","-135.3610687","1"
"SGY","PAGY","Skagway","59.4602","-135.3168597","0"
"SKW","PASW","Skwentna","61.9661125","-151.1953903","0"
"WSN","PFWS","South Naknek Nr 2","58.70208333","-157.0025833","1"
"WBB","","Stebbins","63.51597222","-162.278","0"
"TSG","","Tanacross","63.37406381","-143.3289898","0"
"TAL","PATA","Ralph M Calhoun Meml","65.17438889","-152.1081111","1"
"TOG","PATG","Togiak","59.05355556","-160.3967778","1"
"6K8","PFTO","Tok Junction","63.32951431","-142.953684","1"
"OOK","PAOO","Toksook Bay","60.54133639","-165.0871839","1"
"9AK","","Totatlanika River","64.02565972","-148.5223375","0"
"VDZ","PAVD","Valdez Pioneer Fld","61.13422194","-146.2447681","1"
"VEE","PAVE","Venetie","67.008675","-146.3663583","1"
"AWI","PAWI","Wainwright","70.638","-159.99475","1"
"IWK","PAIW","Wales","65.62255556","-168.0949722","1"
"AK1","","Butte Muni","61.53031528","-149.0176361","0"
"PXK","PAXK","Paxson","63.02458","-145.5005508","0"
"4K0","","Pedro Bay","59.79694444","-154.1299722","0"
"PEV","PAPE","Perryville","55.90672361","-159.1608292","1"
"8W2","","New Market","38.65598472","-78.70849583","1"
"PSG","PAPG","Petersburg James A Johnson","56.80147222","-132.9462222","1"
"05K","PAKX","Wilder Runway","60.19848083","-154.3230492","1"
"PGM","","Port Graham","59.348475","-151.8303222","0"
"PTH","PAPH","Port Heiden","56.95910111","-158.6333619","1"
"ORI","","Port Lions","57.884925","-152.8475722","0"
"PPC","PAPR","Prospect Creek","66.81405556","-150.6436111","0"
"SMK","PAMK","St Michael","63.49005556","-162.1103889","1"
"SNP","PASN","St Paul Island","57.16630556","-170.2225556","1"
"Z81","","Salmon Lake","64.90900972","-165.0147167","0"
"SDP","PASD","Sand Point","55.31369528","-160.5214247","1"
"SVA","PASA","Savoonga","63.68627778","-170.4931667","1"
"SCM","PACM","Scammon Bay","61.84454167","-165.57375","1"
"WLK","PASK","Selawik","66.60013889","-159.98575","1"
"SOV","PASO","Seldovia","59.44390556","-151.7050417","0"
"SWD","PAWD","Seward","60.12988586","-149.4166294","1"
"SLQ","PASL","Sleetmute","61.70050944","-157.1658497","1"
"SXQ","PASX","Soldotna","60.47513889","-151.0396389","1"
"SVS","PFSV","Stevens Village","66.01716667","-149.0543611","0"
"SRV","","Stony River 2","61.78975","-156.5885278","0"
"UMM","PAST","Summit","63.33104014","-149.1288361","0"
"TCT","PPCT","Takotna","62.99294444","-156.0297222","0"
"TKA","PATK","Talkeetna","62.32137194","-150.0927183","1"
"7KA","PAKA","Tatitlek","60.87238889","-146.6911667","1"
"8KA","","Tatitna","62.29328694","-153.3619531","0"
"ATM","PATM","Taylor Mountain","60.86777778","-157.3919444","0"
"Z14","","Tazlina","62.06478861","-146.4605219","0"
"2K5","","Telida","63.37898472","-153.2842153","0"
"TER","PATE","Teller","65.24038889","-166.3393889","1"
"3T4","","Tetlin","63.12469444","-142.5185556","0"
"K55","","Thompson Pass","61.17727028","-145.6884339","0"
"TLT","PALT","Tuluksak","61.08772778","-160.9233528","0"
"A61","","Tuntutuliak","60.35110833","-162.6546111","0"
"4KA","POKA","Tununak","60.56952778","-165.2462778","1"
"A63","","Twin Hills","59.074525","-160.2750417","0"
"9A8","","Ugashik","57.523425","-157.3959944","0"
"UMT","PAUM","Umiat","69.37111267","-152.1349827","0"
"UNK","PAUN","Unalakleet","63.8885","-160.7991111","1"
"DUT","PADU","Unalaska","53.89894444","-166.5450278","1"
"IYS","PAWS","Wasilla","61.57198614","-149.5395567","1"
"A57","","Alsek River","59.19913333","-138.4458778","0"
"AK76","","East Alsek River","59.12628472","-138.4088319","0"
"A77","","Yankee Creek 2","63.00186806","-156.3673603","0"
"L20","","Coal Creek","65.31152083","-143.1341194","0"
"0J0","","Abbeville Muni","31.60022222","-85.23830833","0"
"2A8","","Addison Muni","34.21714167","-87.15815833","0"
"EET","KEET","Shelby County","33.17777778","-86.78322222","1"
"8A0","","Albertville Rgnl/Thomas J Brumlik Fld","34.22911111","-86.25575","1"
"ALX","KALX","Thomas C Russell Fld","32.91475","-85.96294444","1"
"AIV","KAIV","George Downer","33.10674444","-88.197175","1"
"EKY","KEKY","Bessemer","33.31261111","-86.92630556","1"
"BHM","KBHM","Birmingham-Shuttlesworth Intl","33.56388889","-86.75230556","1"
"PYP","KPYP","Centre Piedmont/Cherokee County Rgnl","34.08991667","-85.61008333","1"
"0A8","","Bibb County","32.93693889","-87.09054722","1"
"5R1","","Roy Wilcox","31.45166689","-88.19442664","1"
"02A","","Chilton County","32.85048447","-86.61143247","1"
"11A","","Clayton Muni","31.88332444","-85.48522472","1"
"9A4","","Courtland","34.65815833","-87.34855806","1"
"DHN","KDHN","Dothan Rgnl","31.32102778","-85.44947222","1"
"14J","","Carl Folsom","31.41004167","-86.09033611","0"
"EDN","KEDN","Enterprise Muni","31.29972222","-85.89983333","1"
"EUF","KEUF","Weedon Fld","31.95130556","-85.12891667","1"
"GZH","KGZH","Evergreen Rgnl/Middleton Fld","31.415","-87.04336111","1"
"CQF","KCQF","H L Sonny Callahan","30.4605","-87.87702778","1"
"5R4","","Foley Muni","30.42766667","-87.70097222","1"
"4A9","","Isbell Fld","34.47369444","-85.72138889","1"
"WMO","PAWM","White Mountain","64.68919444","-163.41275","1"
"IEM","PAWR","Whittier","60.77716944","-148.7196528","0"
"UUO","PAUO","Willow","61.75418889","-150.0517389","1"
"WSM","","Wiseman","67.40510694","-150.1208778","0"
"WRG","PAWG","Wrangell","56.48433333","-132.3698333","1"
"3AK","","Dry Bay","59.16433333","-138.4888056","0"
"YAK","PAYA","Yakutat","59.50332333","-139.6602681","1"
"A67","","Harlequin Lake","59.41439583","-139.0337208","0"
"A68","","Situk","59.55287083","-139.5102222","0"
"A69","","Tanis Mesa","59.24959722","-138.5041653","0"
"79J","","South Alabama Rgnl At Bill Benton Fld","31.30836111","-86.39222222","1"
"ANB","KANB","Anniston Rgnl","33.58816667","-85.85811111","1"
"1M3","","Ardmore","34.97908333","-86.88327778","0"
"26A","","Ashland/Lineville","33.28419722","-85.80896528","0"
"0R1","","Atmore Muni","31.01613889","-87.44675","1"
"AUO","KAUO","Auburn University Rgnl","32.61511111","-85.434","1"
"1R8","","Bay Minette Muni","30.87033333","-87.81933333","1"
"5R7","","Roy E Ray","30.45525","-88.21119444","0"
"12J","","Brewton Muni","31.05071139","-87.06726667","1"
"09A","","Butler/Choctaw County","32.11930556","-88.12747222","1"
"61A","","Camden Muni","31.97975","-87.33911111","1"
"15A","","Mark Reynolds/North Mobile County","30.90913889","-87.99633333","0"
"CMD","KCMD","Cullman Rgnl/Folsom Fld","34.2687025","-86.85803528","1"
"4R9","","Jeremiah Denton","30.26048167","-88.12747306","0"
"DCU","KDCU","Pryor Fld Rgnl","34.65405556","-86.94536111","1"
"DYA","KDYA","Demopolis Rgnl","32.46383333","-87.95405556","1"
"M95","","Richard Arthur Fld","33.70910583","-87.81520861","1"
"0J4","","Florala Muni","31.04247361","-86.31156111","1"
"GAD","KGAD","Northeast Alabama Rgnl","33.97264886","-86.08908344","1"
"33J","","Geneva Muni","31.052625","-85.86894444","1"
"7A0","","Greensboro Muni","32.68154028","-87.66206917","1"
"PRN","KPRN","Mac Crenshaw Meml","31.84569444","-86.61075","1"
"5M0","","Hartselle/Morgan County Rgnl","34.40822222","-86.93294444","1"
"M38","","Hazel Green","34.91613194","-86.64704583","0"
"HDL","KHDL","Headland Muni","31.36413889","-85.31252778","1"
"HSV","KHSV","Huntsville Intl-Carl T Jones Fld","34.63719694","-86.77505417","1"
"3M5","","Moontown","34.74736111","-86.46097222","0"
"MDQ","KMDQ","Huntsville Exec Tom Sharp Jr Fld","34.85935222","-86.55751389","1"
"04A","","Frank Sikes","31.73638694","-86.26245464","0"
"A08","","Vaiden Fld","32.5105","-87.38477778","1"
"BFM","KBFM","Mobile Intl","30.62678056","-88.06809083","1"
"MSL","KMSL","Northwest Alabama Rgnl","34.74530556","-87.61022222","1"
"20A","","Robbins Fld","33.97127778","-86.38038889","1"
"71J","","Ozark/Blackwell Fld","31.431812","-85.62053392","1"
"7A5","","Roanoke Muni Enloe","33.12967778","-85.37221528","0"
"M22","","Bill Pugh Fld","34.44508333","-87.71163889","1"
"2R5","","St Elmo","30.50191667","-88.27511111","1"
"1A4","","Logan Fld","31.10370278","-86.0626","0"
"4A6","","Scottsboro Muni-Word Fld","34.68870444","-86.00593194","1"
"SEM","KSEM","Craig Fld","32.34394667","-86.98780556","1"
"TOI","KTOI","Troy Muni At N Kenneth Campbell Fld","31.86","-86.01388889","1"
"TCL","KTCL","Tuscaloosa Ntl","33.22062889","-87.61140389","1"
"06A","","Moton Fld Muni","32.46047222","-85.68002778","1"
"07A","","Franklin Fld","32.1675925","-85.81119667","1"
"CVK","KCVK","Sharp County Rgnl","36.26488889","-91.56266667","1"
"M60","","Woodruff County","35.27190556","-91.27033056","1"
"M74","","Bald Knob Muni","35.29947222","-91.55769444","0"
"BVX","KBVX","Batesville Rgnl","35.72622222","-91.64744444","1"
"SUZ","KSUZ","Saline County Rgnl","34.59038889","-92.47944444","1"
"VBT","KVBT","Bentonville Muni/Louise M Thaden Fld","36.34480028","-94.21950861","1"
"4M1","","Carroll County","36.38134194","-93.62454028","1"
"37T","","Calico Rock Municipal","36.16452778","-92.14447222","0"
"CDH","KCDH","Harrell Fld","33.62280556","-92.76338889","1"
"4M3","","Carlisle Muni","34.80822222","-91.71211111","1"
"JKA","KJKA","Gulf Shores Intl/Jack Edwards Fld","30.28963889","-87.67177778","1"
"8A1","","Guntersville Muni/Joe Starnes Fld","34.40618919","-86.26087028","1"
"1M4","","Posey Fld","34.28033333","-87.60041667","1"
"HAB","KHAB","Marion County-Rankin Fite","34.11694444","-87.99822222","1"
"4R3","","Jackson Muni","31.47055972","-87.89590139","1"
"JFX","KJFX","Walker County/Bevill Fld","33.902","-87.31383333","1"
"7A3","","Lanett Rgnl","32.81184333","-85.22948639","1"
"MOB","KMOB","Mobile Rgnl","30.69141667","-88.24283333","1"
"MVC","KMVC","Monroe County Aeroplex","31.45805556","-87.35102778","1"
"MGM","KMGM","Montgomery Rgnl (Dannelly Fld)","32.30063889","-86.39397222","0"
"PLR","KPLR","St Clair County","33.55883333","-86.24905556","1"
"1A9","","Prattville/Grouby Fld","32.43872222","-86.51269444","1"
"3M8","","North Pickens","33.38675278","-88.00657917","1"
"7A6","","Stevenson","34.88627639","-85.80328889","0"
"SCD","KSCD","Merkel Fld Sylacauga Muni","33.17183333","-86.30552778","1"
"ASN","KASN","Talladega Muni","33.56950417","-86.05120139","1"
"M55","","Lamar County","33.84671889","-88.11547583","1"
"08A","","Wetumpka Muni","32.52733333","-86.33102778","1"
"M73","","Almyra Muni","34.41247944","-91.46530556","1"
"ADF","KADF","Dexter B Florence Meml Fld","34.09980556","-93.06608333","1"
"BYH","KBYH","Arkansas Intl","35.96433333","-89.94394444","1"
"HKA","KHKA","Blytheville Muni","35.94041667","-89.83080556","1"
"4M2","","Booneville Muni","35.14952633","-93.86338956","0"
"M36","","Frank Federer Meml","34.88027778","-91.17644444","1"
"4M8","","Clarendon Muni","34.64666889","-91.39472056","0"
"H35","","Clarksville Muni","35.47067806","-93.42715722","1"
"CCA","KCCA","Clinton Muni","35.59775","-92.45158333","1"
"2A2","","Holley Mountain Airpark","35.65071903","-92.40381294","1"
"DRP","KDRP","Delta Rgnl","35.12005222","-90.82650139","1"
"4M9","","Corning Muni","36.40423139","-90.64792639","1"
"CRT","KCRT","Z M Jack Stell Fld","33.17833333","-91.88019444","1"
"32A","","Danville Muni","35.0872625","-93.42892417","1"
"ELD","KELD","South Arkansas Rgnl At Goodwin Fld","33.22123781","-92.81174889","1"
"FYV","KFYV","Drake Fld","36.00509556","-94.17006333","1"
"XNA","KXNA","Northwest Arkansas Ntl","36.28157917","-94.30776556","1"
"FSM","KFSM","Fort Smith Rgnl","35.33664694","-94.36610889","0"
"12A","","Arkavalley","35.17752961","-92.33506697","0"
"HBZ","KHBZ","Heber Springs Muni","35.51169389","-92.01300944","1"
"HEE","KHEE","Thompson-Robbins","34.57649194","-90.67588944","1"
"2A6","","Holly Grove Muni","34.58244444","-91.16522222","0"
"M18","","Hope Muni","33.71998114","-93.65890372","1"
"6M2","","Horseshoe Bend","36.22136139","-91.75547389","1"
"3M0","","Gastons","36.34905556","-92.55580556","0"
"M32","","Lake Village Muni","33.34652778","-91.31555556","1"
"LIT","KLIT","Bill and Hillary Clinton Ntl/Adams Fld","34.72944139","-92.22477722","1"
"6M7","","Marianna/Lee County-Steve Edwards Fld","34.78275","-90.80997222","1"
"6M8","","Marked Tree Muni","35.53309028","-90.40008889","0"
"4A5","","Searcy County","35.89869444","-92.65633333","1"
"7M1","","Mc Gehee Muni","33.62022111","-91.36484056","1"
"42A","","Melbourne Muni/John E Miller Fld","36.07098028","-91.83013556","1"
"7M3","","Bearce","34.52908111","-93.52942417","0"
"M77","","Howard County","33.99719444","-93.83808333","1"
"M19","","Newport Rgnl","35.63772222","-91.17638889","1"
"ORK","KORK","North Little Rock Muni","34.83313889","-92.25413889","1"
"M70","","Pocahontas Muni","36.2455","-90.95522222","1"
"4F7","","Kizer Fld","33.80388889","-93.36216667","0"
"7M8","","Rector","36.25006306","-90.31954556","0"
"ROG","KROG","Rogers Exec - Carter Fld","36.37241667","-94.10697222","1"
"RUE","KRUE","Russellville Rgnl","35.25928306","-93.09262222","1"
"5M5","","Crystal Lake","36.34361111","-94.44483333","1"
"DEQ","KDEQ","J Lynn Helms Sevier County","34.047","-94.39936111","1"
"4M5","","Dermott Muni","33.48795333","-91.44261139","0"
"5M1","","Dewitt Muni/Whitcomb Fld","34.26227778","-91.3075","1"
"0M0","","Billy Free Muni","33.88452778","-91.53427778","1"
"F43","","El Dorado Downtown-Stevens Fld","33.19125","-92.66322222","0"
"FLP","KFLP","Marion County Rgnl","36.29088889","-92.59025","1"
"5M4","","Fordyce Muni","33.84579222","-92.36552889","0"
"FCY","KFCY","Hutfly","34.94199806","-90.77496611","0"
"5M8","","Gurdon Lowe Fld","33.92377778","-93.16813889","0"
"0R6","","Hampton Muni","33.52261111","-92.46027778","0"
"HRO","KHRO","Boone County","36.26152056","-93.15472889","1"
"6M0","","Hazen Muni David Duch Fld","34.75921389","-91.63804583","0"
"HOT","KHOT","Meml Fld","34.47802778","-93.09622222","1"
"H34","","Huntsville Muni","36.07822667","-93.75475472","1"
"JBR","KJBR","Jonesboro Muni","35.83171111","-90.64642194","1"
"AGO","KAGO","Ralph C Weiser Fld","33.22747222","-93.217","1"
"M78","","Malvern Muni","34.33331583","-92.76149944","1"
